Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for linux-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:34:48 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
53.831: [GC [PSYoungGen: 273984K->64K(312320K)] 884811K->610899K(1011712K), 0.0055260 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
53.893: [GC [PSYoungGen: 275008K->64K(312320K)] 885843K->610907K(1011712K), 0.0039430 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
53.956: [GC [PSYoungGen: 275008K->64K(314368K)] 885851K->610915K(1013760K), 0.0036460 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
54.019: [GC [PSYoungGen: 278080K->96K(313344K)] 888931K->610955K(1012736K), 0.0035500 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
54.082: [GC [PSYoungGen: 278112K->96K(316928K)] 888971K->610963K(1016320K), 0.0034820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
54.149: [GC [PSYoungGen: 282720K->64K(315392K)] 893587K->610939K(1014784K), 0.0045010 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
54.234: [GC [PSYoungGen: 282688K->96K(319488K)] 893563K->610979K(1018880K), 0.0073110 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
54.317: [GC [PSYoungGen: 287840K->96K(317952K)] 898723K->610987K(1017344K), 0.0035080 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
54.407: [GC [PSYoungGen: 287840K->96K(322560K)] 898731K->610987K(1021952K), 0.0070590 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
54.571: [GC [PSYoungGen: 293984K->4544K(321024K)] 904875K->615435K(1020416K), 0.0066960 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
54.722: [GC [PSYoungGen: 298432K->25056K(295936K)] 909323K->659044K(995328K), 0.0187030 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
54.829: [GC [PSYoungGen: 295904K->39392K(310272K)] 929892K->717908K(1009664K), 0.0292440 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
54.858: [Full GC [PSYoungGen: 39392K->0K(310272K)] [ParOldGen: 678515K->255650K(699392K)] 717908K->255650K(1009664K) [PSPermGen: 44809K->44808K(100864K)], 0.1759430 secs] [Times: user=0.45 sys=0.00, real=0.18 secs] 
55.119: [GC [PSYoungGen: 270848K->39392K(236544K)] 526498K->318146K(935936K), 0.0368800 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
55.215: [GC [PSYoungGen: 236512K->49216K(246784K)] 515266K->367562K(946176K), 0.0335730 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
55.306: [GC [PSYoungGen: 246336K->43616K(264704K)] 564682K->411338K(964096K), 0.0327920 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
55.397: [GC [PSYoungGen: 227424K->30688K(266752K)] 595146K->442234K(966144K), 0.0398930 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
55.478: [GC [PSYoungGen: 214496K->13024K(273920K)] 626042K->455354K(973312K), 0.0215040 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
55.538: [GC [PSYoungGen: 208096K->32K(270848K)] 650426K->455386K(970240K), 0.0099450 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
55.582: [GC [PSYoungGen: 195104K->64K(275968K)] 650458K->455426K(975360K), 0.0032170 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
55.627: [GC [PSYoungGen: 200768K->64K(274432K)] 656130K->455434K(973824K), 0.0030970 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
55.671: [GC [PSYoungGen: 200768K->32K(280064K)] 656138K->455410K(979456K), 0.0030030 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
55.708: [GC [PSYoungGen: 208416K->32K(278016K)] 663794K->455418K(977408K), 0.0030620 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
55.748: [GC [PSYoungGen: 208416K->64K(285184K)] 663802K->455458K(984576K), 0.0037930 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
55.816: [GC [PSYoungGen: 218176K->128K(282624K)] 673570K->455538K(982016K), 0.0050120 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
55.871: [GC [PSYoungGen: 218240K->4288K(291840K)] 673650K->459770K(991232K), 0.0038990 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
55.947: [GC [PSYoungGen: 234688K->11168K(288256K)] 690170K->470754K(987648K), 0.0068770 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
56.014: [GC [PSYoungGen: 241568K->13920K(299520K)] 701154K->484162K(998912K), 0.0109480 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
56.113: [GC [PSYoungGen: 260192K->21120K(296448K)] 730434K->504258K(995840K), 0.0134440 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
